n_nodes,n_clusters,pure_nodes_number,alpha,seed,method,matrix,error
100,3,3,0.5,0,Geo_NMF,Theta,0.168013910537
100,3,3,0.5,0,Geo_NMF,B,0.251864002122
100,3,3,0.5,0,basic_SPA,Theta,0.205948965387
100,3,3,0.5,0,basic_SPA,B,0.479786981709
100,3,3,0.5,0,bootstrap_SPA,Theta,0.161415961164
100,3,3,0.5,0,bootstrap_SPA,B,0.199369691577
100,3,3,0.5,1,Geo_NMF,Theta,0.179580439885
100,3,3,0.5,1,Geo_NMF,B,0.24535716458
100,3,3,0.5,1,basic_SPA,Theta,0.217840954379
100,3,3,0.5,1,basic_SPA,B,0.431947413751
100,3,3,0.5,1,bootstrap_SPA,Theta,0.17709450281
100,3,3,0.5,1,bootstrap_SPA,B,0.111781995714
100,3,3,1.0,0,Geo_NMF,Theta,0.23820650599
100,3,3,1.0,0,Geo_NMF,B,0.223516337237
100,3,3,1.0,0,basic_SPA,Theta,0.282392521259
100,3,3,1.0,0,basic_SPA,B,0.557076994754
100,3,3,1.0,0,bootstrap_SPA,Theta,0.222197862117
100,3,3,1.0,0,bootstrap_SPA,B,0.37055466159
100,3,3,1.0,1,Geo_NMF,Theta,0.261845917779
100,3,3,1.0,1,Geo_NMF,B,0.253296905103
100,3,3,1.0,1,basic_SPA,Theta,0.290973282398
100,3,3,1.0,1,basic_SPA,B,0.604629243611
100,3,3,1.0,1,bootstrap_SPA,Theta,0.312851501959
100,3,3,1.0,1,bootstrap_SPA,B,0.45547347397
100,3,3,1.5,0,Geo_NMF,Theta,0.367945253884
100,3,3,1.5,0,Geo_NMF,B,0.234180181382
100,3,3,1.5,0,basic_SPA,Theta,0.345698836002
100,3,3,1.5,0,basic_SPA,B,0.433043102579
100,3,3,1.5,0,bootstrap_SPA,Theta,0.378679689804
100,3,3,1.5,0,bootstrap_SPA,B,0.477027206035
100,3,3,1.5,1,Geo_NMF,Theta,0.245948390952
100,3,3,1.5,1,Geo_NMF,B,0.237364491929
100,3,3,1.5,1,basic_SPA,Theta,0.258406872884
100,3,3,1.5,1,basic_SPA,B,0.454342137231
100,3,3,1.5,1,bootstrap_SPA,Theta,0.276035247196
100,3,3,1.5,1,bootstrap_SPA,B,0.435200879602
100,3,3,2.0,0,Geo_NMF,Theta,0.433016024775
100,3,3,2.0,0,Geo_NMF,B,0.187342690035
100,3,3,2.0,0,basic_SPA,Theta,0.492586899778
100,3,3,2.0,0,basic_SPA,B,0.698317257602
100,3,3,2.0,0,bootstrap_SPA,Theta,0.490658517366
100,3,3,2.0,0,bootstrap_SPA,B,0.49788965563
100,3,3,2.0,1,Geo_NMF,Theta,0.404441035046
100,3,3,2.0,1,Geo_NMF,B,0.848433126095
100,3,3,2.0,1,basic_SPA,Theta,0.377957210307
100,3,3,2.0,1,basic_SPA,B,0.8420733731
100,3,3,2.0,1,bootstrap_SPA,Theta,0.408768738325
100,3,3,2.0,1,bootstrap_SPA,B,0.455941402699
100,3,3,2.5,0,Geo_NMF,Theta,0.603072589726
100,3,3,2.5,0,Geo_NMF,B,0.418384250212
100,3,3,2.5,0,basic_SPA,Theta,0.547733449071
100,3,3,2.5,0,basic_SPA,B,0.643238376761
100,3,3,2.5,0,bootstrap_SPA,Theta,0.619671882975
100,3,3,2.5,0,bootstrap_SPA,B,0.595147897245
100,3,3,2.5,1,Geo_NMF,Theta,0.537927877937
100,3,3,2.5,1,Geo_NMF,B,0.344025185823
100,3,3,2.5,1,basic_SPA,Theta,0.662543807232
100,3,3,2.5,1,basic_SPA,B,1.28766902705
100,3,3,2.5,1,bootstrap_SPA,Theta,0.630914392999
100,3,3,2.5,1,bootstrap_SPA,B,0.696791856862
100,3,3,3.0,0,Geo_NMF,Theta,0.747755802112
100,3,3,3.0,0,Geo_NMF,B,0.237527286601
100,3,3,3.0,0,basic_SPA,Theta,0.65036630035
100,3,3,3.0,0,basic_SPA,B,0.465098776909
100,3,3,3.0,0,bootstrap_SPA,Theta,0.767658409756
100,3,3,3.0,0,bootstrap_SPA,B,0.624700447323
100,3,3,3.0,1,Geo_NMF,Theta,0.589617537762
100,3,3,3.0,1,Geo_NMF,B,0.335387380451
100,3,3,3.0,1,basic_SPA,Theta,0.494536108309
100,3,3,3.0,1,basic_SPA,B,0.712905614273
100,3,3,3.0,1,bootstrap_SPA,Theta,0.59666317176
100,3,3,3.0,1,bootstrap_SPA,B,0.657190103324
100,3,3,3.5,0,Geo_NMF,Theta,0.670902044695
100,3,3,3.5,0,Geo_NMF,B,0.353245113777
100,3,3,3.5,0,basic_SPA,Theta,0.613851254347
100,3,3,3.5,0,basic_SPA,B,0.490877132649
100,3,3,3.5,0,bootstrap_SPA,Theta,0.753871616747
100,3,3,3.5,0,bootstrap_SPA,B,0.678414964826
100,3,3,3.5,1,Geo_NMF,Theta,0.530684490383
100,3,3,3.5,1,Geo_NMF,B,0.261801879178
100,3,3,3.5,1,basic_SPA,Theta,0.482370588569
100,3,3,3.5,1,basic_SPA,B,0.655001598202
100,3,3,3.5,1,bootstrap_SPA,Theta,0.591365408788
100,3,3,3.5,1,bootstrap_SPA,B,0.700632994956
