n_nodes,n_clusters,pure_nodes_number,alpha,seed,method,matrix,error
1000,3,3,0.5,0,Geo_NMF,Theta,0.0548680296943
1000,3,3,0.5,0,Geo_NMF,B,0.0602651310821
1000,3,3,0.5,0,basic_SPA,Theta,0.104426867747
1000,3,3,0.5,0,basic_SPA,B,0.227907451135
1000,3,3,0.5,0,bootstrap_SPA,Theta,0.0534276593002
1000,3,3,0.5,0,bootstrap_SPA,B,0.0386170532313
1000,3,3,0.5,1,Geo_NMF,Theta,0.0559792607535
1000,3,3,0.5,1,Geo_NMF,B,0.0360311084574
1000,3,3,0.5,1,basic_SPA,Theta,0.103190365424
1000,3,3,0.5,1,basic_SPA,B,0.247920636302
1000,3,3,0.5,1,bootstrap_SPA,Theta,0.0552650599041
1000,3,3,0.5,1,bootstrap_SPA,B,0.0530961334484
1000,3,3,0.5,2,Geo_NMF,Theta,0.0546746513261
1000,3,3,0.5,2,Geo_NMF,B,0.0690714045998
1000,3,3,0.5,2,basic_SPA,Theta,0.0943917326833
1000,3,3,0.5,2,basic_SPA,B,0.204745218549
1000,3,3,0.5,2,bootstrap_SPA,Theta,0.0535652076205
1000,3,3,0.5,2,bootstrap_SPA,B,0.0510570746561
1000,3,3,0.5,3,Geo_NMF,Theta,0.0514610955843
1000,3,3,0.5,3,Geo_NMF,B,0.0346291936119
1000,3,3,0.5,3,basic_SPA,Theta,0.105474836383
1000,3,3,0.5,3,basic_SPA,B,0.274256718801
1000,3,3,0.5,3,bootstrap_SPA,Theta,0.0523841919352
1000,3,3,0.5,3,bootstrap_SPA,B,0.0491363377931
1000,3,3,0.5,4,Geo_NMF,Theta,0.0595238484366
1000,3,3,0.5,4,Geo_NMF,B,0.052425280329
1000,3,3,0.5,4,basic_SPA,Theta,0.0994333758683
1000,3,3,0.5,4,basic_SPA,B,0.231208918289
1000,3,3,0.5,4,bootstrap_SPA,Theta,0.054668555713
1000,3,3,0.5,4,bootstrap_SPA,B,0.0563068627525
1000,3,3,0.5,5,Geo_NMF,Theta,0.0685280642504
1000,3,3,0.5,5,Geo_NMF,B,0.0505906491798
1000,3,3,0.5,5,basic_SPA,Theta,0.102698083161
1000,3,3,0.5,5,basic_SPA,B,0.234834801766
1000,3,3,0.5,5,bootstrap_SPA,Theta,0.0597124728861
1000,3,3,0.5,5,bootstrap_SPA,B,0.0663242097631
1000,3,3,0.5,6,Geo_NMF,Theta,0.0531275042822
1000,3,3,0.5,6,Geo_NMF,B,0.0304847397396
1000,3,3,0.5,6,basic_SPA,Theta,0.113203513323
1000,3,3,0.5,6,basic_SPA,B,0.270610085866
1000,3,3,0.5,6,bootstrap_SPA,Theta,0.0573715437487
1000,3,3,0.5,6,bootstrap_SPA,B,0.0673481916868
1000,3,3,0.5,7,Geo_NMF,Theta,0.0533566807898
1000,3,3,0.5,7,Geo_NMF,B,0.0224504728299
1000,3,3,0.5,7,basic_SPA,Theta,0.0886959532369
1000,3,3,0.5,7,basic_SPA,B,0.190730517512
1000,3,3,0.5,7,bootstrap_SPA,Theta,0.0522791281227
1000,3,3,0.5,7,bootstrap_SPA,B,0.0515221208097
1000,3,3,0.5,8,Geo_NMF,Theta,0.0520731442171
1000,3,3,0.5,8,Geo_NMF,B,0.0187415821998
1000,3,3,0.5,8,basic_SPA,Theta,0.0936975509633
1000,3,3,0.5,8,basic_SPA,B,0.184678733798
1000,3,3,0.5,8,bootstrap_SPA,Theta,0.0519819967499
1000,3,3,0.5,8,bootstrap_SPA,B,0.0440123109114
1000,3,3,0.5,9,Geo_NMF,Theta,0.0662188536249
1000,3,3,0.5,9,Geo_NMF,B,0.0442482179869
1000,3,3,0.5,9,basic_SPA,Theta,0.113668841761
1000,3,3,0.5,9,basic_SPA,B,0.29493327428
1000,3,3,0.5,9,bootstrap_SPA,Theta,0.0598715157542
1000,3,3,0.5,9,bootstrap_SPA,B,0.0489936039462
1000,3,3,1.0,0,Geo_NMF,Theta,0.0789635307661
1000,3,3,1.0,0,Geo_NMF,B,0.0418783550253
1000,3,3,1.0,0,basic_SPA,Theta,0.113941328305
1000,3,3,1.0,0,basic_SPA,B,0.186570863006
1000,3,3,1.0,0,bootstrap_SPA,Theta,0.0813013385041
1000,3,3,1.0,0,bootstrap_SPA,B,0.0942448269966
1000,3,3,1.0,1,Geo_NMF,Theta,0.0805533809002
1000,3,3,1.0,1,Geo_NMF,B,0.0609622134017
1000,3,3,1.0,1,basic_SPA,Theta,0.107608744385
1000,3,3,1.0,1,basic_SPA,B,0.199103380272
1000,3,3,1.0,1,bootstrap_SPA,Theta,0.0744024827985
1000,3,3,1.0,1,bootstrap_SPA,B,0.0702237605607
1000,3,3,1.0,2,Geo_NMF,Theta,0.0803991926167
1000,3,3,1.0,2,Geo_NMF,B,0.0559212765154
1000,3,3,1.0,2,basic_SPA,Theta,0.103646755256
1000,3,3,1.0,2,basic_SPA,B,0.211948019242
1000,3,3,1.0,2,bootstrap_SPA,Theta,0.0764270980914
1000,3,3,1.0,2,bootstrap_SPA,B,0.106968189192
1000,3,3,1.0,3,Geo_NMF,Theta,0.0772285175834
1000,3,3,1.0,3,Geo_NMF,B,0.0370600480141
1000,3,3,1.0,3,basic_SPA,Theta,0.120613890253
1000,3,3,1.0,3,basic_SPA,B,0.291845709165
1000,3,3,1.0,3,bootstrap_SPA,Theta,0.0831189789999
1000,3,3,1.0,3,bootstrap_SPA,B,0.129849433908
1000,3,3,1.0,4,Geo_NMF,Theta,0.0858681162858
1000,3,3,1.0,4,Geo_NMF,B,0.0610710897451
1000,3,3,1.0,4,basic_SPA,Theta,0.107999587729
1000,3,3,1.0,4,basic_SPA,B,0.197009638235
1000,3,3,1.0,4,bootstrap_SPA,Theta,0.0837437886461
1000,3,3,1.0,4,bootstrap_SPA,B,0.0967648063787
1000,3,3,1.0,5,Geo_NMF,Theta,0.0959664275551
1000,3,3,1.0,5,Geo_NMF,B,0.0309249894275
1000,3,3,1.0,5,basic_SPA,Theta,0.108440523647
1000,3,3,1.0,5,basic_SPA,B,0.19279285319
1000,3,3,1.0,5,bootstrap_SPA,Theta,0.0766866027564
1000,3,3,1.0,5,bootstrap_SPA,B,0.0849567976481
1000,3,3,1.0,6,Geo_NMF,Theta,0.09963453777
1000,3,3,1.0,6,Geo_NMF,B,0.0743575842943
1000,3,3,1.0,6,basic_SPA,Theta,0.117455708098
1000,3,3,1.0,6,basic_SPA,B,0.246750607095
1000,3,3,1.0,6,bootstrap_SPA,Theta,0.0845638108318
1000,3,3,1.0,6,bootstrap_SPA,B,0.110537282071
1000,3,3,1.0,7,Geo_NMF,Theta,0.0912628408377
1000,3,3,1.0,7,Geo_NMF,B,0.0785096859478
1000,3,3,1.0,7,basic_SPA,Theta,0.103634845773
1000,3,3,1.0,7,basic_SPA,B,0.206494707255
1000,3,3,1.0,7,bootstrap_SPA,Theta,0.0729223897793
1000,3,3,1.0,7,bootstrap_SPA,B,0.10347584419
1000,3,3,1.0,8,Geo_NMF,Theta,0.107289185801
1000,3,3,1.0,8,Geo_NMF,B,0.048337823997
1000,3,3,1.0,8,basic_SPA,Theta,0.11047862263
1000,3,3,1.0,8,basic_SPA,B,0.216451870113
1000,3,3,1.0,8,bootstrap_SPA,Theta,0.0808935088858
1000,3,3,1.0,8,bootstrap_SPA,B,0.0799594321026
1000,3,3,1.0,9,Geo_NMF,Theta,0.0954559729033
1000,3,3,1.0,9,Geo_NMF,B,0.150568795629
1000,3,3,1.0,9,basic_SPA,Theta,0.138946911396
1000,3,3,1.0,9,basic_SPA,B,0.332664626915
1000,3,3,1.0,9,bootstrap_SPA,Theta,0.0968383437496
1000,3,3,1.0,9,bootstrap_SPA,B,0.116442958641
1000,3,3,1.5,0,Geo_NMF,Theta,0.118221323141
1000,3,3,1.5,0,Geo_NMF,B,0.111885691283
1000,3,3,1.5,0,basic_SPA,Theta,0.111991532586
1000,3,3,1.5,0,basic_SPA,B,0.166487364026
1000,3,3,1.5,0,bootstrap_SPA,Theta,0.099241521978
1000,3,3,1.5,0,bootstrap_SPA,B,0.137745092171
1000,3,3,1.5,1,Geo_NMF,Theta,0.110946486903
1000,3,3,1.5,1,Geo_NMF,B,0.0947214696347
1000,3,3,1.5,1,basic_SPA,Theta,0.106362720159
1000,3,3,1.5,1,basic_SPA,B,0.200924012092
1000,3,3,1.5,1,bootstrap_SPA,Theta,0.10823665775
1000,3,3,1.5,1,bootstrap_SPA,B,0.176828035029
1000,3,3,1.5,2,Geo_NMF,Theta,0.102080904529
1000,3,3,1.5,2,Geo_NMF,B,0.107035626577
1000,3,3,1.5,2,basic_SPA,Theta,0.11627193743
1000,3,3,1.5,2,basic_SPA,B,0.17599659184
1000,3,3,1.5,2,bootstrap_SPA,Theta,0.108163845254
1000,3,3,1.5,2,bootstrap_SPA,B,0.138254139219
1000,3,3,1.5,3,Geo_NMF,Theta,0.107860382979
1000,3,3,1.5,3,Geo_NMF,B,0.109338789609
1000,3,3,1.5,3,basic_SPA,Theta,0.113689972685
1000,3,3,1.5,3,basic_SPA,B,0.142600945144
1000,3,3,1.5,3,bootstrap_SPA,Theta,0.103458429267
1000,3,3,1.5,3,bootstrap_SPA,B,0.149668280501
1000,3,3,1.5,4,Geo_NMF,Theta,0.097979265236
1000,3,3,1.5,4,Geo_NMF,B,0.0624055330189
1000,3,3,1.5,4,basic_SPA,Theta,0.109870050528
1000,3,3,1.5,4,basic_SPA,B,0.193409449674
1000,3,3,1.5,4,bootstrap_SPA,Theta,0.104962067883
1000,3,3,1.5,4,bootstrap_SPA,B,0.141917256503
1000,3,3,1.5,5,Geo_NMF,Theta,0.114951051746
1000,3,3,1.5,5,Geo_NMF,B,0.0429818549424
1000,3,3,1.5,5,basic_SPA,Theta,0.120445872312
1000,3,3,1.5,5,basic_SPA,B,0.181650874136
1000,3,3,1.5,5,bootstrap_SPA,Theta,0.104565061899
1000,3,3,1.5,5,bootstrap_SPA,B,0.078479121347
1000,3,3,1.5,6,Geo_NMF,Theta,0.152674466494
1000,3,3,1.5,6,Geo_NMF,B,0.0621846119633
1000,3,3,1.5,6,basic_SPA,Theta,0.122953618218
1000,3,3,1.5,6,basic_SPA,B,0.221479353034
1000,3,3,1.5,6,bootstrap_SPA,Theta,0.109083610003
1000,3,3,1.5,6,bootstrap_SPA,B,0.149953324188
1000,3,3,1.5,7,Geo_NMF,Theta,0.10550491858
1000,3,3,1.5,7,Geo_NMF,B,0.0733951936838
1000,3,3,1.5,7,basic_SPA,Theta,0.122908145904
1000,3,3,1.5,7,basic_SPA,B,0.200022365764
1000,3,3,1.5,7,bootstrap_SPA,Theta,0.114361508914
1000,3,3,1.5,7,bootstrap_SPA,B,0.140109304228
1000,3,3,1.5,8,Geo_NMF,Theta,0.111400875164
1000,3,3,1.5,8,Geo_NMF,B,0.0981883273853
1000,3,3,1.5,8,basic_SPA,Theta,0.119794860139
1000,3,3,1.5,8,basic_SPA,B,0.16385786273
1000,3,3,1.5,8,bootstrap_SPA,Theta,0.11192492036
1000,3,3,1.5,8,bootstrap_SPA,B,0.18275602899
1000,3,3,1.5,9,Geo_NMF,Theta,0.10917329352
1000,3,3,1.5,9,Geo_NMF,B,0.0678470397232
1000,3,3,1.5,9,basic_SPA,Theta,0.132280801559
1000,3,3,1.5,9,basic_SPA,B,0.224569610308
1000,3,3,1.5,9,bootstrap_SPA,Theta,0.119046199952
1000,3,3,1.5,9,bootstrap_SPA,B,0.166990202562
1000,3,3,2.0,0,Geo_NMF,Theta,0.114699821936
1000,3,3,2.0,0,Geo_NMF,B,0.166380644984
1000,3,3,2.0,0,basic_SPA,Theta,0.126060766863
1000,3,3,2.0,0,basic_SPA,B,0.171105541502
1000,3,3,2.0,0,bootstrap_SPA,Theta,0.12994005186
1000,3,3,2.0,0,bootstrap_SPA,B,0.239786428657
1000,3,3,2.0,1,Geo_NMF,Theta,0.131986229818
1000,3,3,2.0,1,Geo_NMF,B,0.153892794419
1000,3,3,2.0,1,basic_SPA,Theta,0.123014505018
1000,3,3,2.0,1,basic_SPA,B,0.0979387224103
1000,3,3,2.0,1,bootstrap_SPA,Theta,0.124809232889
1000,3,3,2.0,1,bootstrap_SPA,B,0.184272351673
1000,3,3,2.0,2,Geo_NMF,Theta,0.137874735301
1000,3,3,2.0,2,Geo_NMF,B,0.064238933769
1000,3,3,2.0,2,basic_SPA,Theta,0.141388761104
1000,3,3,2.0,2,basic_SPA,B,0.242122201623
1000,3,3,2.0,2,bootstrap_SPA,Theta,0.133955598922
1000,3,3,2.0,2,bootstrap_SPA,B,0.210846567333
1000,3,3,2.0,3,Geo_NMF,Theta,0.125979572125
1000,3,3,2.0,3,Geo_NMF,B,0.103162134072
1000,3,3,2.0,3,basic_SPA,Theta,0.135144533777
1000,3,3,2.0,3,basic_SPA,B,0.219978517745
1000,3,3,2.0,3,bootstrap_SPA,Theta,0.13194889433
1000,3,3,2.0,3,bootstrap_SPA,B,0.226858327452
1000,3,3,2.0,4,Geo_NMF,Theta,0.121233274735
1000,3,3,2.0,4,Geo_NMF,B,0.0872039503314
1000,3,3,2.0,4,basic_SPA,Theta,0.130597432005
1000,3,3,2.0,4,basic_SPA,B,0.164751303148
1000,3,3,2.0,4,bootstrap_SPA,Theta,0.129170247409
1000,3,3,2.0,4,bootstrap_SPA,B,0.180692602972
1000,3,3,2.0,5,Geo_NMF,Theta,0.124284600525
1000,3,3,2.0,5,Geo_NMF,B,0.100552484386
1000,3,3,2.0,5,basic_SPA,Theta,0.126581173252
1000,3,3,2.0,5,basic_SPA,B,0.141798545209
1000,3,3,2.0,5,bootstrap_SPA,Theta,0.130002571122
1000,3,3,2.0,5,bootstrap_SPA,B,0.172232649748
1000,3,3,2.0,6,Geo_NMF,Theta,0.127835092884
1000,3,3,2.0,6,Geo_NMF,B,0.131304509157
1000,3,3,2.0,6,basic_SPA,Theta,0.124487556882
1000,3,3,2.0,6,basic_SPA,B,0.15190873626
1000,3,3,2.0,6,bootstrap_SPA,Theta,0.1317823647
1000,3,3,2.0,6,bootstrap_SPA,B,0.197197250266
1000,3,3,2.0,7,Geo_NMF,Theta,0.142452102923
1000,3,3,2.0,7,Geo_NMF,B,0.0948052524009
1000,3,3,2.0,7,basic_SPA,Theta,0.15671030127
1000,3,3,2.0,7,basic_SPA,B,0.104978920577
1000,3,3,2.0,7,bootstrap_SPA,Theta,0.125636172696
1000,3,3,2.0,7,bootstrap_SPA,B,0.173226273479
1000,3,3,2.0,8,Geo_NMF,Theta,0.119093705201
1000,3,3,2.0,8,Geo_NMF,B,0.0341032317875
1000,3,3,2.0,8,basic_SPA,Theta,0.128742682337
1000,3,3,2.0,8,basic_SPA,B,0.16620498152
1000,3,3,2.0,8,bootstrap_SPA,Theta,0.128379680061
1000,3,3,2.0,8,bootstrap_SPA,B,0.17651210223
1000,3,3,2.0,9,Geo_NMF,Theta,0.138455776268
1000,3,3,2.0,9,Geo_NMF,B,0.128876933753
1000,3,3,2.0,9,basic_SPA,Theta,0.137983749511
1000,3,3,2.0,9,basic_SPA,B,0.152622703487
1000,3,3,2.0,9,bootstrap_SPA,Theta,0.137503517506
1000,3,3,2.0,9,bootstrap_SPA,B,0.187772387034
1000,3,3,2.5,0,Geo_NMF,Theta,0.188626840473
1000,3,3,2.5,0,Geo_NMF,B,0.120948995521
1000,3,3,2.5,0,basic_SPA,Theta,0.145576263514
1000,3,3,2.5,0,basic_SPA,B,0.219746715032
1000,3,3,2.5,0,bootstrap_SPA,Theta,0.160502688984
1000,3,3,2.5,0,bootstrap_SPA,B,0.259177550692
1000,3,3,2.5,1,Geo_NMF,Theta,0.136893280845
1000,3,3,2.5,1,Geo_NMF,B,0.116935157997
1000,3,3,2.5,1,basic_SPA,Theta,0.149562810138
1000,3,3,2.5,1,basic_SPA,B,0.12148583944
1000,3,3,2.5,1,bootstrap_SPA,Theta,0.145151059377
1000,3,3,2.5,1,bootstrap_SPA,B,0.19683716505
1000,3,3,2.5,2,Geo_NMF,Theta,0.14549465895
1000,3,3,2.5,2,Geo_NMF,B,0.0554727131759
1000,3,3,2.5,2,basic_SPA,Theta,0.145949854461
1000,3,3,2.5,2,basic_SPA,B,0.16822947359
1000,3,3,2.5,2,bootstrap_SPA,Theta,0.14833387229
1000,3,3,2.5,2,bootstrap_SPA,B,0.170227225763
1000,3,3,2.5,3,Geo_NMF,Theta,0.149951782255
1000,3,3,2.5,3,Geo_NMF,B,0.123869559312
1000,3,3,2.5,3,basic_SPA,Theta,0.162971849764
1000,3,3,2.5,3,basic_SPA,B,0.147844342814
1000,3,3,2.5,3,bootstrap_SPA,Theta,0.153339073776
1000,3,3,2.5,3,bootstrap_SPA,B,0.243680220941
1000,3,3,2.5,4,Geo_NMF,Theta,0.165582481384
1000,3,3,2.5,4,Geo_NMF,B,0.11318948557
1000,3,3,2.5,4,basic_SPA,Theta,0.1573703327
1000,3,3,2.5,4,basic_SPA,B,0.215002234958
1000,3,3,2.5,4,bootstrap_SPA,Theta,0.151217567334
1000,3,3,2.5,4,bootstrap_SPA,B,0.200570301388
1000,3,3,2.5,5,Geo_NMF,Theta,0.132372320554
1000,3,3,2.5,5,Geo_NMF,B,0.105626533128
1000,3,3,2.5,5,basic_SPA,Theta,0.140519266229
1000,3,3,2.5,5,basic_SPA,B,0.188217404546
1000,3,3,2.5,5,bootstrap_SPA,Theta,0.138547261421
1000,3,3,2.5,5,bootstrap_SPA,B,0.14128907573
1000,3,3,2.5,6,Geo_NMF,Theta,0.135727632997
1000,3,3,2.5,6,Geo_NMF,B,0.0817058109992
1000,3,3,2.5,6,basic_SPA,Theta,0.140201656838
1000,3,3,2.5,6,basic_SPA,B,0.151786659878
1000,3,3,2.5,6,bootstrap_SPA,Theta,0.144723368717
1000,3,3,2.5,6,bootstrap_SPA,B,0.174506534714
1000,3,3,2.5,7,Geo_NMF,Theta,0.14974081615
1000,3,3,2.5,7,Geo_NMF,B,0.173685471442
1000,3,3,2.5,7,basic_SPA,Theta,0.142852201789
1000,3,3,2.5,7,basic_SPA,B,0.156116164779
1000,3,3,2.5,7,bootstrap_SPA,Theta,0.154013357852
1000,3,3,2.5,7,bootstrap_SPA,B,0.228003884774
1000,3,3,2.5,8,Geo_NMF,Theta,0.160325108741
1000,3,3,2.5,8,Geo_NMF,B,0.0850721586212
1000,3,3,2.5,8,basic_SPA,Theta,0.159668189522
1000,3,3,2.5,8,basic_SPA,B,0.153592713778
1000,3,3,2.5,8,bootstrap_SPA,Theta,0.186817922181
1000,3,3,2.5,8,bootstrap_SPA,B,0.212607452876
1000,3,3,2.5,9,Geo_NMF,Theta,0.161978142475
1000,3,3,2.5,9,Geo_NMF,B,0.165613431883
1000,3,3,2.5,9,basic_SPA,Theta,0.143822827857
1000,3,3,2.5,9,basic_SPA,B,0.211170141655
1000,3,3,2.5,9,bootstrap_SPA,Theta,0.173447609378
1000,3,3,2.5,9,bootstrap_SPA,B,0.290235654215
1000,3,3,3.0,0,Geo_NMF,Theta,0.152024010759
1000,3,3,3.0,0,Geo_NMF,B,0.115529089887
1000,3,3,3.0,0,basic_SPA,Theta,0.156777333754
1000,3,3,3.0,0,basic_SPA,B,0.0934117362728
1000,3,3,3.0,0,bootstrap_SPA,Theta,0.169920240628
1000,3,3,3.0,0,bootstrap_SPA,B,0.235677642947
1000,3,3,3.0,1,Geo_NMF,Theta,0.168803189546
1000,3,3,3.0,1,Geo_NMF,B,0.204214568787
1000,3,3,3.0,1,basic_SPA,Theta,0.178476795349
1000,3,3,3.0,1,basic_SPA,B,0.139574970367
1000,3,3,3.0,1,bootstrap_SPA,Theta,0.189567261472
1000,3,3,3.0,1,bootstrap_SPA,B,0.30770972545
1000,3,3,3.0,2,Geo_NMF,Theta,0.159495392252
1000,3,3,3.0,2,Geo_NMF,B,0.141880241778
1000,3,3,3.0,2,basic_SPA,Theta,0.148558977644
1000,3,3,3.0,2,basic_SPA,B,0.198409230856
1000,3,3,3.0,2,bootstrap_SPA,Theta,0.17580286611
1000,3,3,3.0,2,bootstrap_SPA,B,0.203644536098
1000,3,3,3.0,3,Geo_NMF,Theta,0.156031393096
1000,3,3,3.0,3,Geo_NMF,B,0.112791393139
1000,3,3,3.0,3,basic_SPA,Theta,0.154702468386
1000,3,3,3.0,3,basic_SPA,B,0.0757521646185
1000,3,3,3.0,3,bootstrap_SPA,Theta,0.161089954431
1000,3,3,3.0,3,bootstrap_SPA,B,0.220524987841
1000,3,3,3.0,4,Geo_NMF,Theta,0.171351854973
1000,3,3,3.0,4,Geo_NMF,B,0.11190986907
1000,3,3,3.0,4,basic_SPA,Theta,0.161269380748
1000,3,3,3.0,4,basic_SPA,B,0.161743371297
1000,3,3,3.0,4,bootstrap_SPA,Theta,0.16432186113
1000,3,3,3.0,4,bootstrap_SPA,B,0.204261824715
1000,3,3,3.0,5,Geo_NMF,Theta,0.158773585076
1000,3,3,3.0,5,Geo_NMF,B,0.144938169512
1000,3,3,3.0,5,basic_SPA,Theta,0.157860071322
