n_nodes,n_clusters,pure_nodes_number,seed,method,matrix,error,time
1000,3,3,0,SPOC_bootstrap,Theta,0.0601527924143,0.47585105896
1000,3,3,0,SPOC_bootstrap,B,0.115733913975,0.47585105896
1000,3,3,0,SPOC,Theta,0.0703704508188,0.158744096756
1000,3,3,0,SPOC,B,0.112979868987,0.158744096756
1000,3,3,0,GeoNMF,Theta,0.0553915216202,14.4432117939
1000,3,3,0,GeoNMF,B,0.107067636495,14.4432117939
1000,3,3,1,SPOC_bootstrap,Theta,0.0729608793156,0.300690889359
1000,3,3,1,SPOC_bootstrap,B,0.115140479819,0.300690889359
1000,3,3,1,SPOC,Theta,0.0866827690236,0.0645909309387
1000,3,3,1,SPOC,B,0.218625036586,0.0645909309387
1000,3,3,1,GeoNMF,Theta,0.0725495391965,13.0716938972
1000,3,3,1,GeoNMF,B,0.0190965565728,13.0716938972
1000,3,3,2,SPOC_bootstrap,Theta,0.0622242542835,0.302928924561
1000,3,3,2,SPOC_bootstrap,B,0.065701642328,0.302928924561
1000,3,3,2,SPOC,Theta,0.0835887426215,0.0635831356049
1000,3,3,2,SPOC,B,0.167614197835,0.0635831356049
1000,3,3,2,GeoNMF,Theta,0.0659949339102,15.5635199547
1000,3,3,2,GeoNMF,B,0.0676204929444,15.5635199547
1000,3,3,3,SPOC_bootstrap,Theta,0.0624106945932,0.338505029678
1000,3,3,3,SPOC_bootstrap,B,0.0685553426943,0.338505029678
1000,3,3,3,SPOC,Theta,0.073406369652,0.0773448944092
1000,3,3,3,SPOC,B,0.139393150796,0.0773448944092
1000,3,3,3,GeoNMF,Theta,0.058959036374,14.2987151146
1000,3,3,3,GeoNMF,B,0.114812913302,14.2987151146
1000,3,3,4,SPOC_bootstrap,Theta,0.065021781649,0.58035993576
1000,3,3,4,SPOC_bootstrap,B,0.100956213584,0.58035993576
1000,3,3,4,SPOC,Theta,0.0717684876268,0.177209854126
1000,3,3,4,SPOC,B,0.158995869297,0.177209854126
