n_nodes,n_clusters,pure_nodes_number,eps,seed,method,matrix,error
1000,3,3,0.0,0,Geo_NMF,Theta,0.0658716511181
1000,3,3,0.0,0,Geo_NMF,B,0.0749735473506
1000,3,3,0.0,0,basic_SPA,Theta,0.0899082161695
1000,3,3,0.0,0,basic_SPA,B,0.205676443101
1000,3,3,0.0,0,bootstrap_SPA,Theta,0.0644372032483
1000,3,3,0.0,0,bootstrap_SPA,B,0.0937513128197
1000,3,3,0.0,1,Geo_NMF,Theta,0.0720113453479
1000,3,3,0.0,1,Geo_NMF,B,0.0483188518526
1000,3,3,0.0,1,basic_SPA,Theta,0.0989579653198
1000,3,3,0.0,1,basic_SPA,B,0.25644807924
1000,3,3,0.0,1,bootstrap_SPA,Theta,0.0637306857468
1000,3,3,0.0,1,bootstrap_SPA,B,0.0598668430957
1000,3,3,0.0,2,Geo_NMF,Theta,0.0636554701517
1000,3,3,0.0,2,Geo_NMF,B,0.0838988713265
1000,3,3,0.0,2,basic_SPA,Theta,0.0894484586687
1000,3,3,0.0,2,basic_SPA,B,0.197747923594
1000,3,3,0.0,2,bootstrap_SPA,Theta,0.0633333303678
1000,3,3,0.0,2,bootstrap_SPA,B,0.0756835734641
1000,3,3,0.0,3,Geo_NMF,Theta,0.0796549284561
1000,3,3,0.0,3,Geo_NMF,B,0.0690399507262
1000,3,3,0.0,3,basic_SPA,Theta,0.0905687078306
1000,3,3,0.0,3,basic_SPA,B,0.211614432089
1000,3,3,0.0,3,bootstrap_SPA,Theta,0.0677509578712
1000,3,3,0.0,3,bootstrap_SPA,B,0.0921038801639
1000,3,3,0.0,4,Geo_NMF,Theta,0.0736389978062
1000,3,3,0.0,4,Geo_NMF,B,0.0576497531378
1000,3,3,0.0,4,basic_SPA,Theta,0.0882663620004
1000,3,3,0.0,4,basic_SPA,B,0.178286826234
1000,3,3,0.0,4,bootstrap_SPA,Theta,0.0698166631296
1000,3,3,0.0,4,bootstrap_SPA,B,0.0941349551607
1000,3,3,0.0,5,Geo_NMF,Theta,0.0801047059803
1000,3,3,0.0,5,Geo_NMF,B,0.0665949051541
1000,3,3,0.0,5,basic_SPA,Theta,0.0987367270295
1000,3,3,0.0,5,basic_SPA,B,0.148787046689
1000,3,3,0.0,5,bootstrap_SPA,Theta,0.0762669933482
1000,3,3,0.0,5,bootstrap_SPA,B,0.118932026061
1000,3,3,0.0,6,Geo_NMF,Theta,0.0769893175396
1000,3,3,0.0,6,Geo_NMF,B,0.0873092781897
1000,3,3,0.0,6,basic_SPA,Theta,0.0870449498738
1000,3,3,0.0,6,basic_SPA,B,0.199528941996
1000,3,3,0.0,6,bootstrap_SPA,Theta,0.0738228524555
1000,3,3,0.0,6,bootstrap_SPA,B,0.12247739544
