n_nodes,n_clusters,pure_nodes_number,rho,seed,method,matrix,error
1000,3,3,0.1,0,SPOC_bootstrap,Theta,0.225595953581
1000,3,3,0.1,0,SPOC_bootstrap,B,1.54026961103
1000,3,3,0.1,0,SPOC,Theta,0.305449677809
1000,3,3,0.1,0,SPOC,B,1.32740887591
1000,3,3,0.1,0,GeoNMF,Theta,0.212488978712
1000,3,3,0.1,0,GeoNMF,B,1.41622005074
1000,3,3,0.1,1,SPOC_bootstrap,Theta,0.23719292455
1000,3,3,0.1,1,SPOC_bootstrap,B,1.51227516883
1000,3,3,0.1,1,SPOC,Theta,0.320887393671
1000,3,3,0.1,1,SPOC,B,1.30886615727
1000,3,3,0.1,1,GeoNMF,Theta,0.222957237369
1000,3,3,0.1,1,GeoNMF,B,1.3814048438
1000,3,3,0.1,2,SPOC_bootstrap,Theta,0.242443939849
1000,3,3,0.1,2,SPOC_bootstrap,B,1.52655850574
1000,3,3,0.1,2,SPOC,Theta,0.308180013793
1000,3,3,0.1,2,SPOC,B,1.33071966448
1000,3,3,0.1,2,GeoNMF,Theta,0.211693055489
1000,3,3,0.1,2,GeoNMF,B,1.41954495085
1000,3,3,0.1,3,SPOC_bootstrap,Theta,0.277248460646
1000,3,3,0.1,3,SPOC_bootstrap,B,1.48782588975
1000,3,3,0.1,3,SPOC,Theta,0.29994563728
1000,3,3,0.1,3,SPOC,B,1.35833340728
1000,3,3,0.1,3,GeoNMF,Theta,0.226819354096
1000,3,3,0.1,3,GeoNMF,B,1.42122665075
1000,3,3,0.1,4,SPOC_bootstrap,Theta,0.240505807348
1000,3,3,0.1,4,SPOC_bootstrap,B,1.55754078503
1000,3,3,0.1,4,SPOC,Theta,0.304740442797
1000,3,3,0.1,4,SPOC,B,1.36592167823
1000,3,3,0.1,4,GeoNMF,Theta,0.239183596146
1000,3,3,0.1,4,GeoNMF,B,1.41374679762
1000,3,3,0.1,5,SPOC_bootstrap,Theta,0.237450426252
1000,3,3,0.1,5,SPOC_bootstrap,B,1.55584731524
1000,3,3,0.1,5,SPOC,Theta,0.304761999027
1000,3,3,0.1,5,SPOC,B,1.34160371999
1000,3,3,0.1,5,GeoNMF,Theta,0.226048829687
1000,3,3,0.1,5,GeoNMF,B,1.41648908685
1000,3,3,0.1,6,SPOC_bootstrap,Theta,0.247651459135
1000,3,3,0.1,6,SPOC_bootstrap,B,1.52785344954
1000,3,3,0.1,6,SPOC,Theta,0.320320506838
1000,3,3,0.1,6,SPOC,B,1.31887803063
1000,3,3,0.1,6,GeoNMF,Theta,0.235081959753
1000,3,3,0.1,6,GeoNMF,B,1.37411355597
1000,3,3,0.1,7,SPOC_bootstrap,Theta,0.335836839825
1000,3,3,0.1,7,SPOC_bootstrap,B,1.33753411182
1000,3,3,0.1,7,SPOC,Theta,0.370307819785
1000,3,3,0.1,7,SPOC,B,1.1640672237
1000,3,3,0.1,7,GeoNMF,Theta,0.229661476216
1000,3,3,0.1,7,GeoNMF,B,1.205635083
1000,3,3,0.1,8,SPOC_bootstrap,Theta,0.283076955841
1000,3,3,0.1,8,SPOC_bootstrap,B,1.45980225157
1000,3,3,0.1,8,SPOC,Theta,0.315596910248
1000,3,3,0.1,8,SPOC,B,1.33478756189
1000,3,3,0.1,8,GeoNMF,Theta,0.233686412696
1000,3,3,0.1,8,GeoNMF,B,1.36174262834
1000,3,3,0.1,9,SPOC_bootstrap,Theta,0.294408450579
1000,3,3,0.1,9,SPOC_bootstrap,B,1.45228157448
1000,3,3,0.1,9,SPOC,Theta,0.322706325407
1000,3,3,0.1,9,SPOC,B,1.32822908069
1000,3,3,0.1,9,GeoNMF,Theta,0.253424481419
1000,3,3,0.1,9,GeoNMF,B,1.4094035561
1000,3,3,0.2,0,SPOC_bootstrap,Theta,0.172247576433
1000,3,3,0.2,0,SPOC_bootstrap,B,1.36794915796
1000,3,3,0.2,0,SPOC,Theta,0.211803620455
1000,3,3,0.2,0,SPOC,B,1.20013923291
1000,3,3,0.2,0,GeoNMF,Theta,0.143515244134
1000,3,3,0.2,0,GeoNMF,B,1.28876909467
1000,3,3,0.2,1,SPOC_bootstrap,Theta,0.167701007628
1000,3,3,0.2,1,SPOC_bootstrap,B,1.34991358119
1000,3,3,0.2,1,SPOC,Theta,0.212462426436
1000,3,3,0.2,1,SPOC,B,1.18049209493
1000,3,3,0.2,1,GeoNMF,Theta,0.143532074718
1000,3,3,0.2,1,GeoNMF,B,1.28632307442
1000,3,3,0.2,2,SPOC_bootstrap,Theta,0.164820033874
1000,3,3,0.2,2,SPOC_bootstrap,B,1.3676537972
1000,3,3,0.2,2,SPOC,Theta,0.216359064283
1000,3,3,0.2,2,SPOC,B,1.15505864993
1000,3,3,0.2,2,GeoNMF,Theta,0.14283847545
1000,3,3,0.2,2,GeoNMF,B,1.28386209345
1000,3,3,0.2,3,SPOC_bootstrap,Theta,0.160111036606
