n_nodes,n_clusters,pure_nodes_number,eps,seed,method,matrix,error
1000,3,3,0.05,0,Geo_NMF,Theta,0.0574003882204
1000,3,3,0.05,0,Geo_NMF,B,0.103298820428
1000,3,3,0.05,0,basic_SPA,Theta,0.0667593507794
1000,3,3,0.05,0,basic_SPA,B,0.118034879016
1000,3,3,0.05,0,bootstrap_SPA,Theta,0.0572748263842
1000,3,3,0.05,0,bootstrap_SPA,B,0.10124774031
1000,3,3,0.05,1,Geo_NMF,Theta,0.0592881560637
1000,3,3,0.05,1,Geo_NMF,B,0.0954831233911
1000,3,3,0.05,1,basic_SPA,Theta,0.0691877398006
1000,3,3,0.05,1,basic_SPA,B,0.197946821793
1000,3,3,0.05,1,bootstrap_SPA,Theta,0.0574306629636
1000,3,3,0.05,1,bootstrap_SPA,B,0.0989509936526
1000,3,3,0.05,2,Geo_NMF,Theta,0.0567893342927
1000,3,3,0.05,2,Geo_NMF,B,0.103889322296
1000,3,3,0.05,2,basic_SPA,Theta,0.0739326838486
1000,3,3,0.05,2,basic_SPA,B,0.203369106868
1000,3,3,0.05,2,bootstrap_SPA,Theta,0.0546584481565
1000,3,3,0.05,2,bootstrap_SPA,B,0.0828346424999
1000,3,3,0.05,3,Geo_NMF,Theta,0.0565493479337
1000,3,3,0.05,3,Geo_NMF,B,0.114803410518
1000,3,3,0.05,3,basic_SPA,Theta,0.0675045269568
1000,3,3,0.05,3,basic_SPA,B,0.11959255574
1000,3,3,0.05,3,bootstrap_SPA,Theta,0.0573311913015
1000,3,3,0.05,3,bootstrap_SPA,B,0.099599706532
1000,3,3,0.05,4,Geo_NMF,Theta,0.0670103248856
1000,3,3,0.05,4,Geo_NMF,B,0.0965985197997
1000,3,3,0.05,4,basic_SPA,Theta,0.075991689161
1000,3,3,0.05,4,basic_SPA,B,0.176469676417
1000,3,3,0.05,4,bootstrap_SPA,Theta,0.0603973228023
1000,3,3,0.05,4,bootstrap_SPA,B,0.108130933067
1000,3,3,0.05,5,Geo_NMF,Theta,0.0582799550014
1000,3,3,0.05,5,Geo_NMF,B,0.0786723923712
1000,3,3,0.05,5,basic_SPA,Theta,0.0767559392588
1000,3,3,0.05,5,basic_SPA,B,0.207352202141
1000,3,3,0.05,5,bootstrap_SPA,Theta,0.0577733965413
1000,3,3,0.05,5,bootstrap_SPA,B,0.0969577406314
1000,3,3,0.05,6,Geo_NMF,Theta,0.071038681612
1000,3,3,0.05,6,Geo_NMF,B,0.107853792309
1000,3,3,0.05,6,basic_SPA,Theta,0.0689724744232
1000,3,3,0.05,6,basic_SPA,B,0.142104343511
1000,3,3,0.05,6,bootstrap_SPA,Theta,0.0619929241448
1000,3,3,0.05,6,bootstrap_SPA,B,0.109428669312
1000,3,3,0.05,7,Geo_NMF,Theta,0.0561145401538
1000,3,3,0.05,7,Geo_NMF,B,0.117057883227
1000,3,3,0.05,7,basic_SPA,Theta,0.0634271664548
1000,3,3,0.05,7,basic_SPA,B,0.123085138232
1000,3,3,0.05,7,bootstrap_SPA,Theta,0.0555958369484
1000,3,3,0.05,7,bootstrap_SPA,B,0.111287934139
1000,3,3,0.05,8,Geo_NMF,Theta,0.0630044243877
1000,3,3,0.05,8,Geo_NMF,B,0.0740879490401
1000,3,3,0.05,8,basic_SPA,Theta,0.0733940424232
1000,3,3,0.05,8,basic_SPA,B,0.159110187818
1000,3,3,0.05,8,bootstrap_SPA,Theta,0.0630340531262
1000,3,3,0.05,8,bootstrap_SPA,B,0.110525491933
1000,3,3,0.05,9,Geo_NMF,Theta,0.0566117125029
1000,3,3,0.05,9,Geo_NMF,B,0.115832914321
1000,3,3,0.05,9,basic_SPA,Theta,0.0737017748298
1000,3,3,0.05,9,basic_SPA,B,0.179229663519
1000,3,3,0.05,9,bootstrap_SPA,Theta,0.0595983321317
1000,3,3,0.05,9,bootstrap_SPA,B,0.100069456687
1000,3,3,0.1,0,Geo_NMF,Theta,0.0640596305187
1000,3,3,0.1,0,Geo_NMF,B,0.0838765643426
1000,3,3,0.1,0,basic_SPA,Theta,0.084377436639
1000,3,3,0.1,0,basic_SPA,B,0.201961729609
1000,3,3,0.1,0,bootstrap_SPA,Theta,0.0622005339587
1000,3,3,0.1,0,bootstrap_SPA,B,0.0939373162572
1000,3,3,0.1,1,Geo_NMF,Theta,0.0691719275444
1000,3,3,0.1,1,Geo_NMF,B,0.0673890755414
1000,3,3,0.1,1,basic_SPA,Theta,0.0846737308696
1000,3,3,0.1,1,basic_SPA,B,0.224349651811
1000,3,3,0.1,1,bootstrap_SPA,Theta,0.0613092215937
1000,3,3,0.1,1,bootstrap_SPA,B,0.0663602647423
1000,3,3,0.1,2,Geo_NMF,Theta,0.0585752493492
1000,3,3,0.1,2,Geo_NMF,B,0.102682459159
1000,3,3,0.1,2,basic_SPA,Theta,0.085637296892
1000,3,3,0.1,2,basic_SPA,B,0.20606761556
1000,3,3,0.1,2,bootstrap_SPA,Theta,0.0604992585431
1000,3,3,0.1,2,bootstrap_SPA,B,0.0766319537428
1000,3,3,0.1,3,Geo_NMF,Theta,0.0624480775698
1000,3,3,0.1,3,Geo_NMF,B,0.0815706275008
1000,3,3,0.1,3,basic_SPA,Theta,0.0813261692296
1000,3,3,0.1,3,basic_SPA,B,0.212929321436
1000,3,3,0.1,3,bootstrap_SPA,Theta,0.0649916689664
1000,3,3,0.1,3,bootstrap_SPA,B,0.10543725143
1000,3,3,0.1,4,Geo_NMF,Theta,0.0673157181066
1000,3,3,0.1,4,Geo_NMF,B,0.0629759853175
1000,3,3,0.1,4,basic_SPA,Theta,0.0808862909996
1000,3,3,0.1,4,basic_SPA,B,0.175400987921
1000,3,3,0.1,4,bootstrap_SPA,Theta,0.0665862192002
1000,3,3,0.1,4,bootstrap_SPA,B,0.101896563804
1000,3,3,0.1,5,Geo_NMF,Theta,0.0604646572798
1000,3,3,0.1,5,Geo_NMF,B,0.0854020566493
1000,3,3,0.1,5,basic_SPA,Theta,0.0780371500363
1000,3,3,0.1,5,basic_SPA,B,0.177149515291
1000,3,3,0.1,5,bootstrap_SPA,Theta,0.0647485114268
1000,3,3,0.1,5,bootstrap_SPA,B,0.115326737926
1000,3,3,0.1,6,Geo_NMF,Theta,0.0725050449681
1000,3,3,0.1,6,Geo_NMF,B,0.0852655191217
1000,3,3,0.1,6,basic_SPA,Theta,0.0821932818799
1000,3,3,0.1,6,basic_SPA,B,0.176170254782
1000,3,3,0.1,6,bootstrap_SPA,Theta,0.068392115514
1000,3,3,0.1,6,bootstrap_SPA,B,0.110078024982
1000,3,3,0.1,7,Geo_NMF,Theta,0.0579874703325
1000,3,3,0.1,7,Geo_NMF,B,0.106005955955
1000,3,3,0.1,7,basic_SPA,Theta,0.0760133558595
1000,3,3,0.1,7,basic_SPA,B,0.170780832778
1000,3,3,0.1,7,bootstrap_SPA,Theta,0.0593412575426
1000,3,3,0.1,7,bootstrap_SPA,B,0.105451030774
1000,3,3,0.1,8,Geo_NMF,Theta,0.0688737114737
1000,3,3,0.1,8,Geo_NMF,B,0.0156771914624
1000,3,3,0.1,8,basic_SPA,Theta,0.0875555405647
1000,3,3,0.1,8,basic_SPA,B,0.216357961597
1000,3,3,0.1,8,bootstrap_SPA,Theta,0.0653219372202
1000,3,3,0.1,8,bootstrap_SPA,B,0.0763711775045
1000,3,3,0.1,9,Geo_NMF,Theta,0.0754082311213
1000,3,3,0.1,9,Geo_NMF,B,0.104547211144
1000,3,3,0.1,9,basic_SPA,Theta,0.0734261085648
1000,3,3,0.1,9,basic_SPA,B,0.183071906119
1000,3,3,0.1,9,bootstrap_SPA,Theta,0.0644496076826
1000,3,3,0.1,9,bootstrap_SPA,B,0.102786345151
1000,3,3,0.15,0,Geo_NMF,Theta,0.0730899224328
1000,3,3,0.15,0,Geo_NMF,B,0.0731068492714
1000,3,3,0.15,0,basic_SPA,Theta,0.0934180240212
1000,3,3,0.15,0,basic_SPA,B,0.198409448344
1000,3,3,0.15,0,bootstrap_SPA,Theta,0.0687313471011
1000,3,3,0.15,0,bootstrap_SPA,B,0.101950430651
1000,3,3,0.15,1,Geo_NMF,Theta,0.07402356633
1000,3,3,0.15,1,Geo_NMF,B,0.0866292348622
1000,3,3,0.15,1,basic_SPA,Theta,0.087406059537
1000,3,3,0.15,1,basic_SPA,B,0.223577138338
1000,3,3,0.15,1,bootstrap_SPA,Theta,0.0686199539518
1000,3,3,0.15,1,bootstrap_SPA,B,0.0901063599029
1000,3,3,0.15,2,Geo_NMF,Theta,0.0704829589359
1000,3,3,0.15,2,Geo_NMF,B,0.0604639408886
1000,3,3,0.15,2,basic_SPA,Theta,0.1006149998
1000,3,3,0.15,2,basic_SPA,B,0.248204537262
1000,3,3,0.15,2,bootstrap_SPA,Theta,0.066894152588
1000,3,3,0.15,2,bootstrap_SPA,B,0.090262465626
1000,3,3,0.15,3,Geo_NMF,Theta,0.0711765644424
1000,3,3,0.15,3,Geo_NMF,B,0.0416751687214
1000,3,3,0.15,3,basic_SPA,Theta,0.096077122264
1000,3,3,0.15,3,basic_SPA,B,0.220529509411
1000,3,3,0.15,3,bootstrap_SPA,Theta,0.0699278666068
1000,3,3,0.15,3,bootstrap_SPA,B,0.0921350541502
1000,3,3,0.15,4,Geo_NMF,Theta,0.07655418593
1000,3,3,0.15,4,Geo_NMF,B,0.0720671646261
1000,3,3,0.15,4,basic_SPA,Theta,0.0958802348635
1000,3,3,0.15,4,basic_SPA,B,0.220519242089
1000,3,3,0.15,4,bootstrap_SPA,Theta,0.0734103785767
1000,3,3,0.15,4,bootstrap_SPA,B,0.0920645636545
1000,3,3,0.15,5,Geo_NMF,Theta,0.0756778113061
1000,3,3,0.15,5,Geo_NMF,B,0.0597357493554
1000,3,3,0.15,5,basic_SPA,Theta,0.0864018960071
1000,3,3,0.15,5,basic_SPA,B,0.156930936945
1000,3,3,0.15,5,bootstrap_SPA,Theta,0.0693801174746
1000,3,3,0.15,5,bootstrap_SPA,B,0.0935689036684
1000,3,3,0.15,6,Geo_NMF,Theta,0.0826034693014
1000,3,3,0.15,6,Geo_NMF,B,0.0835077972381
1000,3,3,0.15,6,basic_SPA,Theta,0.105233112187
1000,3,3,0.15,6,basic_SPA,B,0.270551881121
1000,3,3,0.15,6,bootstrap_SPA,Theta,0.0780139414617
1000,3,3,0.15,6,bootstrap_SPA,B,0.100971135649
1000,3,3,0.15,7,Geo_NMF,Theta,0.075807290782
1000,3,3,0.15,7,Geo_NMF,B,0.0890811081242
1000,3,3,0.15,7,basic_SPA,Theta,0.0863183819063
1000,3,3,0.15,7,basic_SPA,B,0.183297599628
1000,3,3,0.15,7,bootstrap_SPA,Theta,0.0676793972858
1000,3,3,0.15,7,bootstrap_SPA,B,0.112104332904
1000,3,3,0.15,8,Geo_NMF,Theta,0.0767830490677
1000,3,3,0.15,8,Geo_NMF,B,0.0192771625398
1000,3,3,0.15,8,basic_SPA,Theta,0.0951960336505
1000,3,3,0.15,8,basic_SPA,B,0.241890588348
1000,3,3,0.15,8,bootstrap_SPA,Theta,0.0716222994479
1000,3,3,0.15,8,bootstrap_SPA,B,0.082398825191
1000,3,3,0.15,9,Geo_NMF,Theta,0.0745645111596
1000,3,3,0.15,9,Geo_NMF,B,0.0669195020615
1000,3,3,0.15,9,basic_SPA,Theta,0.0880805868823
1000,3,3,0.15,9,basic_SPA,B,0.208634957739
1000,3,3,0.15,9,bootstrap_SPA,Theta,0.0717822670446
1000,3,3,0.15,9,bootstrap_SPA,B,0.111840738876
1000,3,3,0.2,0,Geo_NMF,Theta,0.0785064660803
1000,3,3,0.2,0,Geo_NMF,B,0.0478592985817
1000,3,3,0.2,0,basic_SPA,Theta,0.101998162624
1000,3,3,0.2,0,basic_SPA,B,0.185358777205
1000,3,3,0.2,0,bootstrap_SPA,Theta,0.0768546536293
1000,3,3,0.2,0,bootstrap_SPA,B,0.0987206486134
1000,3,3,0.2,1,Geo_NMF,Theta,0.0770188578711
1000,3,3,0.2,1,Geo_NMF,B,0.0684634758413
1000,3,3,0.2,1,basic_SPA,Theta,0.0902482622613
1000,3,3,0.2,1,basic_SPA,B,0.174437034118
1000,3,3,0.2,1,bootstrap_SPA,Theta,0.0734651506563
1000,3,3,0.2,1,bootstrap_SPA,B,0.0729176021033
1000,3,3,0.2,2,Geo_NMF,Theta,0.0708546403586
1000,3,3,0.2,2,Geo_NMF,B,0.0605858881702
1000,3,3,0.2,2,basic_SPA,Theta,0.100202424142
1000,3,3,0.2,2,basic_SPA,B,0.218461635374
1000,3,3,0.2,2,bootstrap_SPA,Theta,0.0734797608738
1000,3,3,0.2,2,bootstrap_SPA,B,0.0974808735548
1000,3,3,0.2,3,Geo_NMF,Theta,0.0742498385217
1000,3,3,0.2,3,Geo_NMF,B,0.06158440781
1000,3,3,0.2,3,basic_SPA,Theta,0.108006470345
1000,3,3,0.2,3,basic_SPA,B,0.250248932338
1000,3,3,0.2,3,bootstrap_SPA,Theta,0.07762758931
1000,3,3,0.2,3,bootstrap_SPA,B,0.125973767648
1000,3,3,0.2,4,Geo_NMF,Theta,0.083916330954
1000,3,3,0.2,4,Geo_NMF,B,0.0579547498336
1000,3,3,0.2,4,basic_SPA,Theta,0.104806115546
1000,3,3,0.2,4,basic_SPA,B,0.191669699239
1000,3,3,0.2,4,bootstrap_SPA,Theta,0.0820381599745
1000,3,3,0.2,4,bootstrap_SPA,B,0.10249049437
1000,3,3,0.2,5,Geo_NMF,Theta,0.083241191114
1000,3,3,0.2,5,Geo_NMF,B,0.0507495400539
1000,3,3,0.2,5,basic_SPA,Theta,0.114043422119
1000,3,3,0.2,5,basic_SPA,B,0.242867161574
1000,3,3,0.2,5,bootstrap_SPA,Theta,0.0744674817968
1000,3,3,0.2,5,bootstrap_SPA,B,0.0818856649256
1000,3,3,0.2,6,Geo_NMF,Theta,0.0937308604607
1000,3,3,0.2,6,Geo_NMF,B,0.0781153194787
1000,3,3,0.2,6,basic_SPA,Theta,0.114314512343
1000,3,3,0.2,6,basic_SPA,B,0.24447493623
1000,3,3,0.2,6,bootstrap_SPA,Theta,0.0879196517324
