n_nodes,n_clusters,pure_nodes_number,eps,seed,method,matrix,error
1000,3,3,0.05,0,Geo_NMF,Theta,0.833183726148
1000,3,3,0.05,0,Geo_NMF,B,0.386024772378
1000,3,3,0.05,0,basic_SPA,Theta,0.79553759685
1000,3,3,0.05,0,basic_SPA,B,0.457853720506
1000,3,3,0.05,0,bootstrap_SPA,Theta,0.87473472668
1000,3,3,0.05,0,bootstrap_SPA,B,0.224977522199
1000,3,3,0.05,1,Geo_NMF,Theta,0.817225107564
1000,3,3,0.05,1,Geo_NMF,B,0.381780663738
1000,3,3,0.05,1,basic_SPA,Theta,0.812337827548
1000,3,3,0.05,1,basic_SPA,B,0.392874857098
1000,3,3,0.05,1,bootstrap_SPA,Theta,0.883602463066
1000,3,3,0.05,1,bootstrap_SPA,B,0.218090439847
1000,3,3,0.05,2,Geo_NMF,Theta,0.853076373275
1000,3,3,0.05,2,Geo_NMF,B,0.402060273001
1000,3,3,0.05,2,basic_SPA,Theta,0.801836638603
1000,3,3,0.05,2,basic_SPA,B,0.443505472648
1000,3,3,0.05,2,bootstrap_SPA,Theta,0.878145478903
1000,3,3,0.05,2,bootstrap_SPA,B,0.213022067303
1000,3,3,0.05,3,Geo_NMF,Theta,0.888975891495
1000,3,3,0.05,3,Geo_NMF,B,0.20622346098
1000,3,3,0.05,3,basic_SPA,Theta,0.788453862046
1000,3,3,0.05,3,basic_SPA,B,0.485534225427
1000,3,3,0.05,3,bootstrap_SPA,Theta,0.879685766005
1000,3,3,0.05,3,bootstrap_SPA,B,0.228143134571
1000,3,3,0.05,4,Geo_NMF,Theta,0.839105684685
1000,3,3,0.05,4,Geo_NMF,B,0.28244884382
1000,3,3,0.05,4,basic_SPA,Theta,0.804929084896
1000,3,3,0.05,4,basic_SPA,B,0.532600467264
1000,3,3,0.05,4,bootstrap_SPA,Theta,0.903655896747
1000,3,3,0.05,4,bootstrap_SPA,B,0.423306586774
1000,3,3,0.05,5,Geo_NMF,Theta,0.837280036505
1000,3,3,0.05,5,Geo_NMF,B,0.370952056346
1000,3,3,0.05,5,basic_SPA,Theta,0.798608773904
1000,3,3,0.05,5,basic_SPA,B,0.431996818524
1000,3,3,0.05,5,bootstrap_SPA,Theta,0.896619137802
1000,3,3,0.05,5,bootstrap_SPA,B,0.185225885854
1000,3,3,0.05,6,Geo_NMF,Theta,0.880631350786
1000,3,3,0.05,6,Geo_NMF,B,0.199582938114
1000,3,3,0.05,6,basic_SPA,Theta,0.801861372438
1000,3,3,0.05,6,basic_SPA,B,0.400610602792
1000,3,3,0.05,6,bootstrap_SPA,Theta,0.874660447
1000,3,3,0.05,6,bootstrap_SPA,B,0.183218926723
1000,3,3,0.05,7,Geo_NMF,Theta,0.849740019151
1000,3,3,0.05,7,Geo_NMF,B,0.26542069969
1000,3,3,0.05,7,basic_SPA,Theta,0.797387178294
1000,3,3,0.05,7,basic_SPA,B,0.435197854058
1000,3,3,0.05,7,bootstrap_SPA,Theta,0.876998493332
1000,3,3,0.05,7,bootstrap_SPA,B,0.195470568582
1000,3,3,0.05,8,Geo_NMF,Theta,0.828044099019
1000,3,3,0.05,8,Geo_NMF,B,0.448715278033
1000,3,3,0.05,8,basic_SPA,Theta,0.782011103315
1000,3,3,0.05,8,basic_SPA,B,0.596958011298
1000,3,3,0.05,8,bootstrap_SPA,Theta,0.857635696136
